"StationName,CliftonHS_Jace3"
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S310,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S312,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S314,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S316,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3A,S318,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3B,S307,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3B,S309,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3B,S311,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3B,S313,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3B,S315,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,S3B,S317,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E102,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E106,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E110A,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E110B,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E112,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E113,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1A,E114,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1B,E111,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1B,E109A,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E1B,E115,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E202,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E204,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E206,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E208,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E210,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E212,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2A,E214,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E205,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E207,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E209,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E211,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E213,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E305,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E2B,E309A,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E3A,E302,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E3A,E304,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E3A,E306,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,E3A,E310,bacnet:BacnetPointFolder,N/A,"
